#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
1.18,618,2578.405236
1.96,696,2580.940753
0.26,526,2582.897696
-0.72,428,2584.471763
3.63,763,2587.291662
0.19,519,2589.179255
-0.66,434,2590.734133
0.83,583,2592.868642
3.32,732,2595.491815
-0.3,470,2597.213463
0.14,514,2601.599564
0.67,567,2603.695105
-0.9,410,2605.178147
0.0,500,2606.989845
0.53,553,2609.052984
0.88,588,2611.171852
-0.12,488,2612.966935
0.57,557,2614.97519
4.15,815,2617.923612
1.33,633,2620.253901
1.99,599,2622.440508
-0.2,480,2624.196985
0.28,528,2626.073953
-0.36,464,2627.765651
-0.22,478,2629.581207
1.41,641,2631.916144
2.84,784,2634.778266
2.23,623,2639.561179
4.5,850,2642.736452
5.08,908,2646.090394
3.07,807,2649.088392
0.42,542,2651.125128
-0.66,434,2652.724716
2.74,774,2655.60579
-0.67,433,2657.172781
0.24,524,2659.107015
1.36,636,2661.426844
0.56,556,2663.505969
3.25,725,2666.194828
3.48,848,2669.295227
0.55,555,2671.355827
0.04,504,2673.217121
-0.04,496,2675.076992
0.32,532,2679.418157
2.08,708,2682.015126
1.33,633,2684.355473
0.98,598,2686.560137
-0.37,463,2688.245081
0.94,594,2690.468216
-0.8,420,2692.009968
-0.14,486,2693.801492
1.55,655,2696.148383
0.32,532,2698.100338
-0.02,498,2699.917649
3.56,856,2703.029293
0.8,580,2705.171637
0.28,528,2707.148563
-0.45,455,2708.856149
-0.77,423,2710.432773
1.55,655,2712.818648
0.08,508,2714.695228
0.38,538,2719.151559
