#{"t_start": 1627866007.343853, "env_id": "SlimeVolley-v0"}
r,l,t
-5,521,1020.024403
-5,617,1020.758445
-4,659,1021.471094
-5,746,1022.28359
-5,693,1023.011851
-5,651,1023.699323
-5,650,1034.645054
-5,494,1042.879584
-4,817,1056.49623
-5,608,1066.628719
-5,584,1076.365331
-5,668,1087.50103
-5,585,1097.250294
-5,508,1105.713331
-4,722,1117.747755
-5,815,1131.331671
-5,416,1131.825133
-5,565,1132.397604
-5,477,1132.894582
-4,1105,1134.097687
-5,636,1134.733164
-5,512,1135.26817
-4,694,1135.988081
-5,631,1136.652258
-4,888,1137.536376
-5,547,1138.071353
-5,529,1138.597666
-5,526,1139.11392
-5,524,1139.644393
-5,691,1140.420306
-5,465,1140.908457
-5,535,1141.488521
-5,502,1141.971641
-5,696,1142.666363
-5,672,1143.471165
-5,920,1144.429627
-5,778,1145.215835
-5,608,1145.846392
-5,515,1146.355697
-5,589,1147.01365
-5,513,1147.610271
-5,973,1148.61144
-5,617,1149.293908
-5,908,1150.319546
-4,769,1151.120023
-5,701,1151.963281
-5,478,1152.539686
-5,428,1153.10904
-5,555,1153.937609
-5,467,1154.641946
-5,586,1155.447246
-5,613,1156.392203
-4,516,1157.108257
-5,508,1157.800365
-5,567,1158.530221
-5,434,1159.013321
-5,619,1159.69016
-5,555,1160.349942
-4,554,1160.982324
-4,580,1161.742701
-5,680,1162.608564
-5,611,1163.372317
-5,717,1164.347013
-5,521,1164.982073
-5,677,1165.823766
-4,700,1166.65506
-5,749,1167.618789
-5,713,1168.449905
-4,503,1169.045923
-5,454,1169.56628
-5,669,1170.356859
-5,649,1171.105425
-4,632,1171.876693
-5,413,1172.403125
-5,829,1173.331318
-5,638,1174.083394
-5,522,1174.654841
-5,508,1175.229943
-5,511,1175.792011
-5,517,1176.363544
-5,636,1177.095137
-5,669,1177.895803
-5,482,1178.462763
-5,616,1179.165444
-4,858,1180.176186
-5,623,1180.887049
-5,518,1181.553784
-4,752,1182.533704
-5,468,1183.106816
-5,605,1183.819732
-5,549,1184.533353
-5,418,1184.992654
-5,713,1185.876966
-5,669,1186.672204
-5,733,1187.464465
-5,677,1188.232543
-5,490,1188.747691
-5,546,1189.341286
-5,453,1189.864818
-4,575,1190.516527
-5,422,1191.010143
-5,462,1191.541709
-5,610,1192.252128
-5,650,1193.08019
-5,598,1193.764071
-5,802,1194.693425
-5,637,1195.453176
-5,436,1195.970382
-5,582,1196.743709
-5,414,1197.194195
-4,750,1198.081346
-5,496,1198.634776
-4,715,1199.454498
-5,697,1200.271516
-5,505,1200.925532
-5,554,1201.628771
-5,503,1202.238388
-5,506,1202.830245
-5,552,1203.471753
-5,604,1204.171356
-5,596,1204.861915
-5,675,1205.693695
-5,633,1206.445246
-4,660,1207.331297
-5,476,1207.921733
